date,series,side,threshold_k,estimator,alpha_hat,ci_low,ci_high,selected_threshold,active_flag,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
2024-12-31,Mkt-RF,right,20,hill,3.047136282484261,1.7116699250734624,4.38260263989506,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,88,hill,3.0442134245021277,2.4081655113157723,3.680261337688483,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,156,hill,3.0313383440663744,2.555643783724334,3.5070329044084145,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,224,hill,2.873611477110449,2.4972890407587447,3.249933913462153,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,292,hill,2.9232314247111613,2.587935832432547,3.2585270169897753,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,360,hill,2.7639694381773547,2.4784484371246327,3.049490439230077,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,428,hill,2.5600493268946916,2.3175098032842345,2.8025888505051486,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,497,hill,2.4763747091823656,2.2586567589007562,2.694092659463975,258,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,right,248,pot,3.9385726071772367,,,248,1,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,20,hill,4.172806192861258,2.3439932452439636,6.001619140478553,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,88,hill,3.1641505355932096,2.503043357964658,3.8252577132217613,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,157,hill,2.828590793926834,2.3861283959516966,3.271053191901972,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,226,hill,2.779229967557143,2.4168815777356967,3.141578357378589,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,295,hill,2.581092350755081,2.286549417755134,2.875635283755028,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,364,hill,2.520753390704085,2.2617915701582207,2.7797152112499495,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,433,hill,2.3871129579170325,2.1622669954289053,2.6119589204051596,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,502,hill,2.321061735778036,2.118017387805443,2.5241060837506293,260,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,Mkt-RF,left,251,pot,4.48111380129371,,,251,1,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
2024-12-31,SMB,right,20,hill,4.315156177531033,2.423955598419475,6.206356756642592,252,0,synthetic-v1,F18_default,1e79a4024a35cd2530582da600194533475a6d24a879f8dfad0d3b3b72e26739,ff4006c,0.1.0,2026-05-26T14:42:35+00:00
