series,side,estimator,threshold,k,alpha_hat,ci_low,ci_high,active_flag,common_index_group,status,run_id,config_hash,git_hash,code_version,run_timestamp
Mkt-RF,right,hill,0.02450904404383272,246,2.743807324299622,2.400927343898833,3.086687304700411,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Mkt-RF,right,pickands,,123,11.684470948379943,11.684470948379943,11.684470948379943,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Mkt-RF,right,pot_gpd,0.024528126268022997,245,2.9810747224306438,2.9810747224306438,2.9810747224306438,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Mkt-RF,left,hill,0.02556650727192819,253,2.9157152307538534,2.5564287166009367,3.27500174490677,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Mkt-RF,left,pickands,,126,inf,,,0,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
Mkt-RF,left,pot_gpd,0.025603562449031416,252,6.480245008533962,6.480245008533962,6.480245008533962,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,right,hill,0.013821239565853974,249,3.2115951513008034,2.812683068172558,3.6105072344290488,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,right,pickands,,124,inf,,,0,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,right,pot_gpd,0.013845680752832507,248,3.695308132290388,3.695308132290388,3.695308132290388,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,left,hill,0.013523443889413593,250,3.1481675996280916,2.7579167008539143,3.538418498402269,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,left,pickands,,125,10.03710378456479,10.03710378456479,10.03710378456479,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
SMB,left,pot_gpd,0.01357849848642278,249,8.045811227495381,8.045811227495381,8.045811227495381,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,right,hill,0.010877656290436159,244,3.2565578769119825,2.8479375572288905,3.6651781965950745,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,right,pickands,,122,inf,,,0,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,right,pot_gpd,0.010880371205578198,243,3.946481946849897,3.946481946849897,3.946481946849897,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,left,hill,0.011221869194094975,255,3.354724382837736,2.942965642745725,3.7664831229297473,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,left,pickands,,127,9.829702613857625,9.829702613857625,9.829702613857625,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
HML,left,pot_gpd,0.0112238663105284,254,11.137814693639909,11.137814693639909,11.137814693639909,1,market,complete,T_tail_index_default,c8449256bafe6be379586a8122a9aeaa02a5403760a7f69a5fcfc5a467da7e4e,ff4006c,0.1.0,2026-05-26T14:43:55+00:00
